Depth,Gamma,K,U,Th,MagSusc
1.39,18.75864,0.1603401,0.9830367,3.45289,-0.05783851
1.39,18.77096,0.1605801,0.9830233,3.45293,-0.06561934
1.39,18.78327,0.1608201,0.9830101,3.45297,-0.07140511
1.39,18.77334,0.161,0.983,3.453,-0.07482323
1.39,18.69677,0.161,0.983,3.453,-0.07569275
1.39,18.6202,0.161,0.983,3.453,-0.07434817
1.4,18.54363,0.161,0.983,3.453,-0.07104259
1.4,18.46706,0.161,0.983,3.453,-0.06600215
1.4,18.39049,0.161,0.983,3.453,-0.05945291
1.4,18.31394,0.161,0.983,3.453,-0.05168381
1.4,18.14058,0.1611822,0.9830045,3.452902,-0.04304653
1.4,17.96726,0.1613644,0.9830089,3.452805,-0.0336602
1.4,17.79394,0.1615466,0.9830133,3.452707,-0.02384521
1.41,17.62062,0.1617288,0.9830178,3.452609,-0.0141224
1.41,17.44729,0.161911,0.9830222,3.452511,-0.00501276
1.41,17.27397,0.1620932,0.9830266,3.452414,0.003048748
1.41,17.10066,0.1620721,0.9830811,3.446279,0.009884978
1.41,16.92733,0.1619832,0.9831522,3.438133,0.01515594
1.41,16.75401,0.1618944,0.9832234,3.429987,0.01853462
1.42,16.58069,0.1618055,0.9832945,3.421841,0.01989405
1.42,16.40738,0.1617166,0.9833656,3.413696,0.01910723
1.42,16.23406,0.1616278,0.9834367,3.40555,0.01604722
1.42,16.06126,0.1613944,0.9839811,3.391951,0.01047076
1.42,15.88898,0.1610167,0.9849988,3.372899,0.002537337
1.42,15.71671,0.160639,0.9860165,3.353848,-0.007192606
1.43,15.54443,0.1602612,0.9870342,3.334795,-0.01818888
1.43,15.37214,0.1598835,0.9880519,3.315742,-0.0299212
1.43,15.19986,0.1595057,0.9890696,3.29669,-0.04185942
1.43,15.05698,0.159018,0.9896954,3.274913,-0.05339196
1.43,15.0024,0.1582003,0.9891444,3.244956,-0.06401424
1.43,14.94781,0.1573826,0.9885933,3.214997,-0.07362178
1.44,14.89322,0.1565648,0.9880422,3.185038,-0.08195124
1.44,14.83863,0.1557471,0.9874911,3.155079,-0.08868659
1.44,14.78405,0.1549294,0.98694,3.125122,-0.09351177
1.44,14.72944,0.1541113,0.9863887,3.095152,-0.09631217
1.44,14.78247,0.153325,0.981755,3.054301,-0.0971736
1.44,14.83553,0.1525383,0.9771194,3.013436,-0.09612109
1.44,14.88858,0.1517517,0.9724839,2.97257,-0.09326582
1.45,14.94163,0.1509651,0.9678487,2.931707,-0.0888048
1.45,14.99469,0.1501784,0.9632132,2.890841,-0.08293497
1.45,15.04774,0.1493918,0.9585776,2.849976,-0.07578631
1.45,15.14562,0.1484884,0.9508262,2.800928,-0.06728875
1.45,15.25847,0.1475461,0.9420342,2.74915,-0.05768988
1.45,15.37132,0.1466037,0.9332414,2.697367,-0.04739738
1.46,15.48418,0.1456614,0.9244487,2.645585,-0.03698248
1.46,15.59704,0.144719,0.915656,2.593803,-0.02701631
1.46,15.70988,0.1437767,0.9068639,2.542024,-0.01807015
1.46,15.83745,0.1424807,0.895952,2.484888,-0.01074571
1.46,15.9797,0.1408319,0.8829255,2.422409,-0.005472479
1.46,16.12196,0.1391831,0.8698989,2.35993,-0.002508279
1.47,16.26421,0.1375342,0.8568723,2.297451,-0.001883588
1.47,16.40645,0.1358856,0.8438467,2.234977,-0.003628823
1.47,16.5487,0.1342367,0.8308201,2.172498,-0.007774386
1.47,16.68615,0.1326847,0.8167196,2.111319,-0.01419187
1.47,16.80923,0.1314225,0.7994041,2.05403,-0.02259088
1.47,16.9323,0.1301604,0.78209,1.996745,-0.03235394
1.48,17.05539,0.1288981,0.7647746,1.939456,-0.04284173
1.48,17.17847,0.1276359,0.7474592,1.882167,-0.05340765
1.48,17.30155,0.1263737,0.7301437,1.824878,-0.06340508
1.48,17.4246,0.1251118,0.7128335,1.767606,-0.07227361
1.48,17.52647,0.1244583,0.6895351,1.721213,-0.0795386
1.48,17.62831,0.123805,0.6662421,1.674831,-0.08518012
1.48,17.73015,0.1231516,0.642949,1.628448,-0.08915646
1.49,17.832,0.1224982,0.6196558,1.582065,-0.09140422
1.49,17.93383,0.1218449,0.5963645,1.535686,-0.09185986
1.49,18.03567,0.1211916,0.5730714,1.489304,-0.09051459
1.49,18.13184,0.1212216,0.5490681,1.451102,-0.08752304
1.49,18.22612,0.1214794,0.5248283,1.415626,-0.08308365
1.49,18.32039,0.1217371,0.5005902,1.380153,-0.07740732
1.5,18.41467,0.1219948,0.4763503,1.344676,-0.070699
1.5,18.50895,0.1222526,0.4521104,1.3092,-0.06316359
1.5,18.60323,0.1225103,0.4278706,1.273724,-0.05500602
1.5,18.66166,0.1227525,0.4056729,1.243702,-0.04620382
1.5,18.68424,0.1229791,0.3855189,1.219134,-0.03677817
1.5,18.70682,0.1232057,0.3653635,1.194565,-0.02679393
1.51,18.72941,0.1234324,0.345208,1.169995,-0.01653818
1.51,18.75199,0.123659,0.3250526,1.145426,-0.006297853
1.51,18.77458,0.1238856,0.3048986,1.120858,0.003640159
1.51,18.77558,0.1241977,0.2857991,1.099013,0.01301078
1.51,18.71176,0.1247666,0.2698703,1.08535,0.02155219
1.51,18.64794,0.1253354,0.2539414,1.071688,0.02899067
1.52,18.58412,0.1259043,0.2380126,1.058025,0.0351449
1.52,18.5203,0.1264731,0.222085,1.044363,0.03986409
1.52,18.45649,0.1270419,0.2061562,1.0307,0.04299747
1.52,18.39265,0.127611,0.1902226,1.017033,0.04441608
1.52,18.32678,0.1290771,0.1786706,1.014171,0.04401303
1.52,18.26089,0.1305436,0.1671159,1.011308,0.04212566
1.52,18.19501,0.1320102,0.1555604,1.008445,0.03906137
1.53,18.12912,0.1334768,0.1440049,1.005583,0.0350977
1.53,18.06323,0.1349434,0.1324494,1.00272,0.03051235
1.53,17.99735,0.1364099,0.1208947,0.9998569,0.02558501
1.53,17.9358,0.1379301,0.1125561,0.9991363,0.02060128
1.53,17.8757,0.1394681,0.1052925,0.9991318,0.01566212
1.53,17.8156,0.1410061,0.09802892,0.9991272,0.01079164
1.54,17.7555,0.1425442,0.09076533,0.9991226,0.00596738
1.54,17.6954,0.1440821,0.08350229,0.999118,0.001166896
1.54,17.6353,0.1456201,0.0762387,0.9991134,-0.003632378
1.54,17.57863,0.1469979,0.07149433,0.999109,-0.008675148
1.54,17.52537,0.1482156,0.06926318,0.9991045,-0.01414637
1.54,17.47212,0.1494333,0.06703219,0.9991001,-0.02017161
1.55,17.41887,0.1506511,0.06480104,0.9990956,-0.02646389
1.55,17.36562,0.1518689,0.06256989,0.9990911,-0.03273625
1.55,17.31236,0.1530867,0.06033874,0.9990867,-0.03870177
1.55,17.25397,0.1541865,0.0587377,0.9990823,-0.04398116
1.55,17.18021,0.1549331,0.05902213,0.9990779,-0.04813337
1.55,17.10644,0.1556798,0.05930658,0.9990734,-0.05062431
1.56,17.03268,0.1564265,0.05959103,0.9990689,-0.05118489
1.56,16.95891,0.1571731,0.05987548,0.9990644,-0.04963387
1.56,16.88515,0.1579198,0.06015991,0.99906,-0.04579007
1.56,16.8114,0.1586662,0.06044428,0.9990556,-0.03950221
1.56,16.75533,0.1594131,0.06072881,0.9990511,-0.0306486
1.56,16.69928,0.1601598,0.06101327,0.9990467,-0.01993271
1.56,16.64324,0.1609064,0.0612977,0.9990422,-0.008060729
1.57,16.58718,0.1616531,0.06158214,0.9990378,0.004258626
1.57,16.53113,0.1623998,0.0618666,0.9990333,0.01631657
1.57,16.47508,0.1631465,0.06215104,0.9990289,0.02738872
1.57,16.45439,0.1637531,0.06238215,0.9990245,0.03670447
1.57,16.44548,0.1643131,0.06259547,0.99902,0.04402309
1.57,16.43656,0.1648731,0.06280881,0.9990156,0.04933672
1.58,16.42765,0.1654331,0.06302215,0.9990111,0.05280795
1.58,16.41873,0.1659931,0.06323548,0.9990067,0.05459926
1.58,16.40982,0.1665531,0.06344881,0.9990022,0.05487322
1.58,16.39852,0.1669264,0.06359104,0.999,0.05420498
1.58,16.38483,0.1671131,0.06366216,0.999,0.05317504
1.58,16.37115,0.1672998,0.06373327,0.999,0.05236894
1.59,16.35747,0.1674865,0.06380439,0.999,0.05207755
1.59,16.34378,0.1676732,0.0638755,0.999,0.0525918
1.59,16.3301,0.1678599,0.06394662,0.999,0.05420255
1.59,16.31129,0.1679999,0.06399997,0.999,0.05693563
1.59,16.2771,0.1679999,0.06399997,0.999,0.06061473
1.59,16.24291,0.1679999,0.06399998,0.999,0.06472293
1.6,16.20871,0.168,0.06399999,0.999,0.06881694
1.6,16.17452,0.168,0.06399999,0.999,0.07247758
1.6,16.14032,0.168,0.064,0.999,0.07528574
1.6,16.10612,0.168,0.064,0.999,0.07681958
1.6,16.10612,0.168,0.064,0.999,0.07665507
1.6,16.10611,0.168,0.064,0.999,0.07495764
1.6,16.10611,0.168,0.064,0.999,0.0719528
1.61,16.1061,0.168,0.064,0.999,0.06792598
1.61,16.1061,0.168,0.064,0.999,0.06316281
1.61,16.10609,0.168,0.064,0.999,0.058006
1.61,16.14197,0.168,0.064,0.999,0.0529685
1.61,16.18983,0.168,0.064,0.999,0.04841638
1.61,16.23769,0.168,0.064,0.999,0.04463721
1.62,16.28555,0.168,0.064,0.999,0.04182936
1.62,16.33341,0.168,0.064,0.999,0.04019117
1.62,16.38127,0.168,0.064,0.999,0.0399208
1.62,16.45667,0.168,0.064,0.999,0.04092168
1.62,16.55965,0.168,0.064,0.999,0.0429768
1.62,16.66264,0.168,0.064,0.999,0.04574911
1.63,16.76564,0.168,0.064,0.999,0.04886039
1.63,16.86863,0.168,0.064,0.999,0.05193249
1.63,16.97161,0.168,0.064,0.999,0.05458729
1.63,17.08472,0.1679544,0.06398219,0.999,0.05652012
1.63,17.22809,0.1677721,0.06391108,0.999,0.05751016
1.63,17.37146,0.1675899,0.06383997,0.999,0.0575151
1.64,17.51482,0.1674077,0.06376886,0.999,0.05650657
1.64,17.6582,0.1672255,0.06369776,0.999,0.05446071
1.64,17.80157,0.1670433,0.06362665,0.999,0.05135369
1.64,17.94489,0.1668611,0.06355556,0.999,0.04722195
1.64,18.14034,0.1663098,0.06334215,0.9990045,0.04216199
1.64,18.3357,0.1657587,0.06312883,0.9990089,0.0363523
