Depth,Gamma,K,U,TH,MagSusc
1.18,15.88753,0.1532013,0.9829944,3.4624,-0.03273329
1.19,15.86184,0.1477262,0.9833589,3.460538,-0.03371121
1.19,15.83615,0.1422507,0.9837233,3.458676,-0.03512235
1.19,15.81045,0.1367751,0.9840878,3.456814,-0.03698139
1.19,15.79506,0.1315568,0.9844334,3.455061,-0.03940581
1.19,15.8106,0.1271119,0.9847223,3.453639,-0.04256336
1.19,15.82614,0.1226666,0.9850112,3.452217,-0.0466843
1.20,15.84169,0.1182214,0.9853001,3.450794,-0.05162593
1.20,15.85723,0.1137761,0.9855891,3.449372,-0.05710703
1.20,15.87278,0.1093309,0.985878,3.447949,-0.06286078
1.20,15.88831,0.1048889,0.9861667,3.446528,-0.0686257
1.20,15.97125,0.1016245,0.9833248,3.437686,-0.07415046
1.20,16.05413,0.0983623,0.9804848,3.428851,-0.07876267
1.20,16.13701,0.0951001,0.9776448,3.420015,-0.08195273
1.21,16.21989,0.09183814,0.9748051,3.41118,-0.08335222
1.21,16.30277,0.08857593,0.971965,3.402345,-0.08258981
1.21,16.38565,0.08531373,0.969125,3.393509,-0.07929299
1.21,16.47273,0.08289215,0.9686401,3.376878,-0.0730585
1.21,16.56121,0.08074994,0.9689379,3.357656,-0.06422946
1.21,16.64968,0.07860789,0.9692357,3.338435,-0.05345141
1.22,16.73816,0.07646568,0.9695334,3.319213,-0.04148296
1.22,16.82664,0.07432347,0.9698312,3.299991,-0.02910386
1.22,16.91512,0.07218126,0.970129,3.280769,-0.01707218
1.22,17.01043,0.07057516,0.9720035,3.256282,-0.006399516
1.22,17.11258,0.06950406,0.9754524,3.226536,0.002248239
1.22,17.21473,0.06843295,0.9789013,3.196789,0.008494348
1.23,17.31687,0.06736185,0.9823501,3.167043,0.01210369
1.23,17.41902,0.06629083,0.9857988,3.137299,0.01284017
1.23,17.52116,0.06521972,0.9892476,3.107552,0.0104732
1.23,17.62982,0.06440444,0.9934884,3.075136,0.005130574
1.23,17.75797,0.06435554,1.000102,3.034723,-0.002825989
1.23,17.88613,0.06430665,1.006715,2.99431,-0.01277246
1.24,18.01427,0.06425777,1.013328,2.9539,-0.02413437
1.24,18.14242,0.06420888,1.019941,2.913487,-0.03635489
1.24,18.27058,0.06416,1.026554,2.873074,-0.04886647
1.24,18.39871,0.06411111,1.033167,2.832667,-0.06128425
