Depth,Gamma,K,U,TH,MagSusc
1.96,21.7662,0.0800,2.0860,0.9980,0.0733
1.97,23.0955,0.0800,2.0860,0.9980,0.0710
1.97,24.4250,0.0800,2.0860,0.9980,0.0688
1.97,25.7544,0.0800,2.0860,0.9980,0.0679
1.97,26.4232,0.0810,2.0381,0.9981,0.0722
1.97,26.8714,0.0822,1.9743,0.9983,0.0806
1.97,27.3198,0.0835,1.9105,0.9984,0.0889
1.98,27.7681,0.0848,1.8466,0.9986,0.0972
1.98,28.2164,0.0861,1.7828,0.9988,0.1055
1.98,28.6647,0.0874,1.7189,0.9989,0.1125
1.98,28.8890,0.0886,1.6550,0.9990,0.1112
1.98,28.8890,0.0897,1.5910,0.9990,0.0976
1.98,28.8890,0.0908,1.5270,0.9990,0.0840
1.99,28.8890,0.0919,1.4630,0.9990,0.0704
1.99,28.8890,0.0930,1.3990,0.9990,0.0568
1.99,28.8890,0.0942,1.3350,0.9990,0.0432
1.99,28.5159,0.0948,1.2861,0.9990,0.0343
1.99,27.0240,0.0938,1.2824,0.9990,0.0396
1.99,25.5323,0.0928,1.2787,0.9990,0.0449
2,18.7073,0.0856,1.4555,0.9990,0.0924
2,18.9932,0.0868,1.3917,0.9990,0.0836
2,19.2791,0.0879,1.3278,0.9990,0.0748
2,24.0405,0.0919,1.2750,0.9990,0.0502
2,22.5487,0.0909,1.2714,0.9990,0.0554
2,21.0568,0.0900,1.2677,0.9990,0.0607
2,19.5650,0.0890,1.2640,0.9990,0.0667
2.01,17.7780,0.0785,1.8390,0.9990,0.1395
2.01,17.7780,0.0798,1.7750,0.9990,0.1328
2.01,17.7780,0.0810,1.7110,0.9990,0.1260
2.01,17.8495,0.0823,1.6470,0.9990,0.1185
2.01,18.1355,0.0834,1.5832,0.9990,0.1100
2.01,18.4214,0.0845,1.5193,0.9990,0.1012
2.02,17.9209,0.0746,2.0310,0.9990,0.1503
2.02,17.7780,0.0746,2.0310,0.9990,0.1576
2.02,18.2068,0.0759,1.9670,0.9990,0.1249
2.02,17.7780,0.0759,1.9670,0.9990,0.1529
2.02,18.4927,0.0772,1.9030,0.9990,0.0994
2.02,17.7780,0.0772,1.9030,0.9990,0.1462
2.03,18.7787,0.0785,1.8390,0.9990,0.0740
2.03,19.0646,0.0798,1.7750,0.9990,0.0485
2.03,19.3506,0.0810,1.7110,0.9990,0.0231
2.03,19.5650,0.0820,1.6630,0.9990,0.0027
2.03,19.5650,0.0820,1.6630,0.9990,-0.0024
2.03,19.5650,0.0820,1.6630,0.9990,-0.0075
2.04,19.5650,0.0820,1.6630,0.9990,-0.0126
2.04,19.5650,0.0820,1.6630,0.9990,-0.0178
2.04,19.5650,0.0820,1.6630,0.9990,-0.0229
2.04,19.5650,0.0820,1.6630,0.9990,-0.0211
2.04,20.3456,0.0820,1.6630,0.9990,0.0037
2.04,21.1263,0.0820,1.6630,0.9990,0.0354
2.04,21.9069,0.0820,1.6630,0.9990,0.0670
2.05,22.6874,0.0820,1.6630,0.9990,0.0987
2.05,23.4681,0.0820,1.6630,0.9990,0.1304
2.05,24.2487,0.0820,1.6630,0.9990,0.1609
2.05,24.3803,0.0820,1.6630,0.9990,0.1867
2.05,24.2953,0.0820,1.6630,0.9990,0.2089
2.05,24.2104,0.0820,1.6630,0.9990,0.2311
2.06,24.1254,0.0820,1.6630,0.9990,0.2534
2.06,24.0405,0.0820,1.6630,0.9990,0.2756
2.06,23.9555,0.0820,1.6630,0.9990,0.2965
2.06,24.1332,0.0820,1.6630,0.9990,0.3091
2.06,24.5738,0.0820,1.6630,0.9990,0.3092
2.06,25.0145,0.0820,1.6630,0.9990,0.3094
2.07,25.4552,0.0820,1.6630,0.9990,0.3096
2.07,25.8959,0.0820,1.6630,0.9990,0.3097
2.07,26.3365,0.0820,1.6630,0.9990,0.3099
2.07,26.6669,0.0820,1.6630,0.9990,0.3126
2.07,26.6670,0.0820,1.6630,0.9990,0.3230
2.07,26.6670,0.0820,1.6630,0.9990,0.3334
2.08,25.3451,0.0782,1.8593,0.9990,0.2977
2.08,25.7857,0.0794,1.7939,0.9990,0.3235
2.08,26.2264,0.0807,1.7284,0.9990,0.3493
2.08,26.6670,0.0820,1.6630,0.9990,0.3438
